,deployment_signal
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0.012660867
827,0.025321734
828,0.0379826
829,0.050643467
830,0.063304334
831,0.075965201
832,0.088626067
833,0.101286934
834,0.113947801
835,0.126608668
836,0.139269534
837,0.151930401
838,0.164591268
839,0.177252135
840,0.189913002
841,0.202573868
842,0.215234735
843,0.227895602
844,0.240556469
845,0.253217335
846,0.265878202
847,0.278539069
848,0.291199936
849,0.303860802
850,0.316521669
851,0.329182536
852,0.341843403
853,0.35450427
854,0.367165136
855,0.379826003
856,0.39248687
857,0.405147737
858,0.417808603
859,0.43046947
860,0.443130337
861,0.455791204
862,0.46845207
863,0.481112937
864,0.493773804
865,0.506434671
866,0.519095538
867,0.531756404
868,0.544417271
869,0.557078138
870,0.569739005
871,0.582399871
872,0.595060738
873,0.607721605
874,0.620382472
875,0.633043338
876,0.645704205
877,0.658365072
878,0.671025939
879,0.683686805
880,0.696347672
881,0.709008539
882,0.721669406
883,0.734330273
884,0.746991139
885,0.759652006
886,0.772312873
887,0.78497374
888,0.797634606
889,0.810295473
890,0.82295634
891,0.835617207
892,0.848278073
893,0.86093894
894,0.873599807
895,0.886260674
896,0.898921541
897,0.911582407
898,0.924243274
899,0.936904141
900,0.949565008
901,0.948675802
902,0.947786595
903,0.946897389
904,0.946008183
905,0.945118977
906,0.944229771
907,0.943340565
908,0.942451359
909,0.941562153
910,0.940672947
911,0.939783741
912,0.938894534
913,0.938005328
914,0.937116122
915,0.936226916
916,0.93533771
917,0.934448504
918,0.933559298
919,0.932670092
920,0.931780886
921,0.93089168
922,0.930002473
923,0.929113267
924,0.928224061
925,0.927334855
926,0.926445649
927,0.925556443
928,0.924667237
929,0.923778031
930,0.922888825
931,0.921999619
932,0.921110412
933,0.920221206
934,0.919332
935,0.918442794
936,0.917553588
937,0.916664382
938,0.915775176
939,0.91488597
