TIME,POWER_STAIR,POWER_EXP
0,0.4230928873158953,0.4230928873158953
4,0.8159403064757048,0.42224236882139626
8,0.4213931258290713,0.4213931258290713
12,0.4205451570717504,0.4205451570717504
16,0.41969846128288796,0.41969846128288796
20,0.41885303719656314,0.41885303719656314
24,0.41800888354748045,0.41800888354748045
28,0.4171659990709678,0.4171659990709678
32,0.41632438250297843,0.41632438250297843
36,0.4154840325800902,0.4154840325800902
40,0.414644948039506,0.414644948039506
44,0.41380712761905286,0.41380712761905286
48,0.41297057005718174,0.41297057005718174
52,0.4121352740929704,0.4121352740929704
56,0.41130123846611905,0.41130123846611905
60,0.4104684619169533,0.4104684619169533
64,0.4096369431864247,0.4096369431864247
68,0.40880668101610707,0.40880668101610707
72,0.4079776741482012,0.4079776741482012
76,0.40714992132553074,0.40714992132553074
80,0.40632342129154525,0.40632342129154525
84,0.40549817279031786,0.40549817279031786
88,0.40467417456654725,0.40467417456654725
92,0.4038514253655564,0.4038514253655564
96,0.40302992393329296,0.40302992393329296
100,0.4022096690163292,0.4022096690163292
104,0.40139065936186225,0.40139065936186225
108,0.40057289371771365,0.40057289371771365
112,0.3997563708323296,0.3997563708323296
116,0.3989410894547816,0.3989410894547816
120,0.3981270483347641,0.3981270483347641
124,0.39731424622259853,0.39731424622259853
128,0.3965026818692288,0.3965026818692288
132,0.3956923540262254,0.3956923540262254
136,0.3948832614457817,0.3948832614457817
140,0.3940754028807174,0.3940754028807174
144,0.39326877708447516,0.39326877708447516
148,0.3924633828111241,0.3924633828111241
152,0.3916592188153559,0.3916592188153559
156,0.39085628385248944,0.39085628385248944
160,0.3900545766784653,0.3900545766784653
164,0.3892540960498519,0.3892540960498519
168,0.3884548407238399,0.3884548407238399
172,0.38765680945824466,0.38765680945824466
176,0.3868600010115084,0.3868600010115084
180,0.38606441414269516,0.6880314433126987
184,0.3852700476114964,0.3852700476114964
188,0.3844769001782254,0.3844769001782254
192,0.6971187778822718,0.38368497060382295
196,0.38289425764985185,0.38289425764985185
200,0.3821047600785019,0.3821047600785019
204,0.3813164766525854,0.3813164766525854
208,0.3805294061355413,0.3805294061355413
212,0.3797435472914314,0.3797435472914314
216,0.3789588988849443,0.3789588988849443
220,0.3781754596813903,0.3781754596813903
224,0.3773932284467071,0.3773932284467071
228,0.37661220394745526,0.37661220394745526
232,0.3758323849508219,0.3758323849508219
236,0.3750537702246165,0.3750537702246165
240,0.3742763585372746,0.3742763585372746
244,0.3735001486578564,0.3735001486578564
248,0.6569465447907078,0.372725139356046
252,0.3719513294021532,0.3719513294021532
256,0.37117871756711096,0.37117871756711096
260,0.3704073026224786,0.3704073026224786
264,0.36963708334043915,0.36963708334043915
268,0.3688680584938005,0.3688680584938005
272,0.3681002268559944,0.3681002268559944
276,0.3673335872010789,0.3673335872010789
280,0.36656813830373575,0.36656813830373575
284,0.36580387893927074,0.36580387893927074
288,0.36504080788361537,0.506596000930379
292,0.36427892391332556,0.579927673279712
296,0.5072037583936041,0.4279299415070219
300,0.3643610268605747,0.3643610268605747
304,0.3657743819781376,0.3657743819781376
308,0.3671918194795314,0.3671918194795314
312,0.3686133471611623,0.3686133471611623
316,0.3700389728268106,0.3700389728268106
320,0.3714687042876291,0.3714687042876291
324,0.3729025493621438,0.3729025493621438
328,0.37434051587625344,0.37434051587625344
332,0.37578261166323024,0.5243280823942897
336,0.3772288445637184,0.3772288445637184
340,0.37867922242573643,0.37867922242573643
344,0.3801337531046746,0.3801337531046746
348,0.3815924444632966,0.3815924444632966
352,0.38305530437174007,0.38305530437174007
356,0.3845223407075146,0.3845223407075146
360,0.38599356135550245,0.38599356135550245
364,0.38746897420795984,0.38746897420795984
368,0.3889485871645154,0.3889485871645154
372,0.39043240813217134,0.39043240813217134
376,0.3919204450253013,0.3919204450253013
380,0.39341270576565424,0.39341270576565424
384,0.3949091982823503,0.3949091982823503
388,0.39640993051188345,0.39640993051188345
392,0.3979149103981203,0.7114654752423828
396,0.39942414589230124,0.7802523365735701
400,0.40093764495303785,0.40093764495303785
404,0.40245541554631586,0.40245541554631586
408,0.40397746564549514,0.40397746564549514
412,0.40550380323130625,0.40550380323130625
416,0.40703443629185443,0.40703443629185443
420,0.4085693728226172,0.4085693728226172
424,0.41010862082644517,0.41010862082644517
428,0.411652188313562,0.64485102413496
432,0.41320008330156444,0.41320008330156444
436,0.414752313815422,0.414752313815422
440,0.4163088878874777,0.4163088878874777
444,0.41786981355744646,0.41786981355744646
448,0.419435098872417,0.419435098872417
452,0.4210047518868514,0.4210047518868514
456,0.4225787806625846,0.4225787806625846
460,0.4241571932688226,0.4241571932688226
464,0.42573999778214766,0.42573999778214766
468,0.4273272022865122,0.4273272022865122
472,0.68962217072168,0.42891881487324324
476,0.43051484364104026,0.43051484364104026
480,0.4321152966959758,0.4321152966959758
484,0.4337201821514954,0.4337201821514954
488,0.43532950812841753,0.8431170025518542
492,0.4369432827549337,0.4369432827549337
496,0.4385615141666084,0.4385615141666084
500,0.4401842105063794,0.4401842105063794
504,0.4418113799245566,0.4418113799245566
508,0.443443030578824,0.443443030578824
512,0.4450791706342382,0.4450791706342382
516,0.44671980826322777,0.44671980826322777
520,0.4483649516455957,0.4483649516455957
524,0.7867005088979427,0.4500146089685175
528,0.9912253575238157,0.4516687884265415
532,0.45332749822158896,0.45332749822158896
536,0.4549907465629545,0.4549907465629545
540,0.4566585416673056,0.4566585416673056
544,0.4583308917586829,0.4583308917586829
548,0.6788295368783034,0.6788295368783034
552,0.6812764788737438,0.6812764788737438
556,0.6837300164046295,0.6837300164046295
560,0.6861901611392875,0.6861901611392875
564,0.6886569247571698,0.6886569247571698
568,0.9092937154938496,0.9092937154938496
572,0.9126336489767913,0.9126336489767913
576,0.9489209573659398,1.0036474417969568
580,0.9193428831204946,0.9193428831204946
584,0.9227122206685759,0.9227122206685759
588,0.9260913966134665,0.9260913966134665
592,0.7578068417240156,0.9294804296273325
596,0.9328793384700849,0.9328793384700849
600,0.9270490384746302,0.9270490384746302
604,0.9112656597083542,0.9112656597083542
608,0.6810282298451205,0.8077203232415797
612,0.9989144317723404,0.4536707062032731
616,0.4459226732990049,0.4459226732990049
620,0.43827375091828663,0.43827375091828663
624,0.43072309586152374,0.43072309586152374
628,0.4232698685027714,0.4232698685027714
632,0.4159132327897353,0.4159132327897353
636,0.4086523562437715,0.4086523562437715
640,0.4014864099598868,0.4014864099598868
644,0.3944145686067365,0.3944145686067365
648,0.38743601042662756,0.38743601042662756
652,0.3805499172355165,0.3805499172355165
656,0.37375547442301016,0.37375547442301016
660,0.3670518709523654,0.3670518709523654
664,0.3604382993604893,0.3604382993604893
668,0.35391395575793955,0.35391395575793955
672,0.3474780398289227,0.3474780398289227
676,0.3411297548312974,0.3411297548312974
680,0.3348683075965708,0.3348683075965708
684,0.32869290852990074,0.32869290852990074
688,0.3226027716100961,0.3226027716100961
692,0.31659711438961413,0.31659711438961413
