HRS,MIN,WND_MEAN,WND_STD,PWR_MEAN,PWR_STD,CONF INT
0,0,4.886011638282247,0.6182479230263748,1662893.42904597,484781.8239101537,1160449.360125788
0,5,5.504863864850411,1.465749774257607,2438702.913101134,1135017.5620774974,1262332.8141021752
0,10,5.46257055453033,1.361872209624423,2367557.14266063,1067932.4306784498,1260716.3137822226
0,15,4.942815092256058,0.8594952457647403,1841528.121085817,628344.30035471,1190291.1081000809
0,20,4.08371944380037,0.7166807003473824,1542214.1975819452,373083.72178420424,1155537.7712481844
0,25,4.529641857346147,0.8256263560459083,1698937.4154738472,503108.43992868776,1177499.0297956245
0,30,4.382429663455255,0.9943771447379972,1737298.733813838,546904.8049615574,1170468.3330770913
0,35,4.405473622118792,0.9870680742529724,1745092.0628826537,548552.3957793282,1176554.0440101456
0,40,4.6722441329926365,1.005238723268427,1838342.9406046309,621868.5976511347,1193817.5621213154
0,45,4.3308730461917655,1.0425764730572538,1754605.3176707244,555894.5822612601,1178457.6115764522
0,50,4.771688050135976,1.085240697298202,1915317.4436783954,686493.3922019963,1203812.7703333907
0,55,4.635997964663712,1.0888190728496987,1870404.671937529,650359.7022289771,1196350.1613661784
1,0,4.817330326074244,1.1296980694844518,1956299.5864976814,720009.6130356928,1210057.5827909862
1,5,4.6014209214209965,1.2580122183379103,1934755.5905393201,717030.0395200361,1191601.7163107032
1,10,4.638053513924743,1.1370591967520018,1896135.2889272545,672321.4413326089,1199318.8986575485
1,15,5.2777466088440255,1.3273089213609828,2267168.4501713933,959826.8924836806,1272371.810667241
1,20,5.4362119608469435,1.3378567018401937,2363920.1014493154,1019931.0193258998,1306829.5380395171
1,25,5.5495168314966925,1.2948466738297275,2414947.8569185305,1041156.8037546659,1335858.1818085616
1,30,6.100895882565958,1.492165037925022,2911495.071795242,1333198.2197033844,1529723.922080977
1,35,5.826641478279557,1.4050624859885923,2658165.3204352856,1189433.4771396287,1425396.750146076
1,40,6.077198417669988,1.7463620577126286,2990241.792112118,1436284.7711992618,1501628.2984197547
1,45,6.099285193094977,1.8780435594489484,3057097.1421833625,1505484.2262941976,1496763.0226958315
1,50,5.81970891330896,1.6183293025537633,2742455.8190008695,1269989.18735917,1426196.6209257413
1,55,5.428083236971038,1.3424075171655874,2370203.251014091,1006779.9420668476,1326742.903183387
2,0,5.612044307933768,1.5838934969300542,2589944.958326853,1168122.60288305,1379263.6896764652
2,5,6.225682806718379,1.951647020830304,3176143.108273145,1580943.3853646717,1537600.5967818513
2,10,6.379561297581892,2.727429890356478,3602257.5833053626,2087464.2979524743,1438739.8855312052
2,15,6.720018682770733,2.378164601078252,3789703.00108434,2112824.939063042,1599900.6880842214
2,20,6.816239216167955,2.5497365530843816,3958635.377349913,2283302.3041860727,1592144.6309833615
