HRS,WND_S_MEAN,WND_S_STD,WND_D_MEAN,WND_D_STD,PWR_MEAN,PWR_STD
2019-08-01 06:05:00,9.32876747210794,1.0572980842279571,167.3521222966564,10.069239040129416,40786123.91557297,16172927.069520347
2019-08-01 06:10:00,10.70303051174669,1.1687390716131152,168.2216087629543,10.022601975216563,67012246.83062333,17524965.427192047
2019-08-01 06:15:00,11.07452722807817,1.1708178584814175,169.06148270706203,9.929406963528887,72183525.05386283,16890785.965027146
2019-08-01 06:20:00,10.514044279300457,1.0811400625577392,169.87389091082497,9.791972059534988,64667750.97612711,16516005.650614437
2019-08-01 06:25:00,10.643566807399305,1.0689835822482392,170.66089924586745,9.612952707649727,65694496.37745633,16325983.857011098
2019-08-01 06:30:00,8.624843253229017,0.8492331548910135,171.42449481374132,9.395336006944254,44260789.571993195,8989274.045865161
2019-08-01 06:35:00,7.355696651316793,0.7123495024888661,172.16658837457257,9.142441942446633,27432661.452826384,16008228.493475238
2019-08-01 06:40:00,7.282788981928643,0.6955747481585738,172.8890168829081,8.857930656446824,21020986.40636394,17486260.201291595
2019-08-01 06:45:00,9.007434939988343,0.8503541902467425,173.59354597987155,8.54581457931783,46677244.45947673,9254540.2223277
2019-08-01 06:50:00,8.856449385819495,0.827938099744901,174.28187231620518,8.210473799485156,45656892.63794717,8067503.223115718
2019-08-01 06:55:00,8.458968975875134,0.7841778818178939,174.95562560215657,7.856672286479497,43940989.73030782,7742242.628358175
2019-08-01 07:00:00,9.228277443436244,0.8492794697163307,175.61637029828418,7.489571277317452,44563877.380051695,9711745.020403337
2019-08-01 07:05:00,9.377723396888804,0.8574497565422635,176.26560687687007,7.114733997205508,42985946.004266754,9614998.823317777
2019-08-01 07:10:00,9.078623826104293,0.8251875174298539,176.90477259745109,6.738112549037098,41234216.17087131,7574634.27606462
2019-08-01 07:15:00,9.568554747878396,0.8648594989340342,177.5352417526549,6.3660029649551735,39634997.395543575,6862321.193988062
2019-08-01 07:20:00,9.09737129590176,0.8177903263602917,178.1583253526438,6.004948145586815,38511321.28118762,5200657.896738546
2019-08-01 07:25:00,8.433790916834951,0.7539761095931681,178.7752702285414,5.661561877951013,32846503.5633348,12756051.769671405
2019-08-01 07:30:00,8.451993030883395,0.7512938702926778,179.38725754769638,5.342243662435571,32306470.21319787,12205655.28990381
2019-08-01 07:35:00,9.032613781449825,0.7980208251431375,179.99540074689537,5.0527602172435335,37350938.144171104,3577161.4751041085
2019-08-01 07:40:00,8.949604938396684,0.7854442522307127,180.6007429039511,4.797694157471726,37188983.611724794,4023901.1906522694
2019-08-01 07:45:00,8.874662601926973,0.7731425525978396,181.2042535836493,4.579809195996228,37025081.07019022,4689780.966716995
2019-08-01 07:50:00,9.379935156591864,0.8104223237471726,181.80682521088784,4.399445672550676,38580077.010847725,3844962.7133413465
2019-08-01 07:55:00,9.54796482401565,0.8172449370648835,182.4092690419137,4.254108342393853,39610451.146771856,5480852.42840881
2019-08-01 08:00:00,9.07900742761414,0.7688640707067054,183.0123108236113,4.138395791569463,38523831.73738274,8051479.362613618
2019-08-01 08:05:00,8.926120568811983,0.7467993846941252,183.61625607068046,4.044305881539631,36033504.386708006,14631369.994589202
2019-08-01 08:10:00,8.572388744388581,0.7074557208081198,184.2200482192736,3.9630123678679,20100699.348574895,11164532.512988012
2019-08-01 08:15:00,9.015159452999283,0.7327177023333045,184.82235274244078,3.8875458115573873,38851142.50619646,30388082.57726276
2019-08-01 08:20:00,9.429350154329864,0.7535516830090525,185.42190575876145,3.813278559686864,77020089.06603521,25062602.090134855
2019-08-01 08:25:00,8.302272727923233,0.6513320278929435,186.01751855242526,3.737995344370285,16963263.907007854,3579667.877574067
2019-08-01 08:30:00,8.059252542084296,0.619724145441126,186.60808094350548,3.6619978471649315,16804152.847943835,1260414.036177076
2019-08-01 08:35:00,7.86053057348667,0.5915777430723258,187.1925635439269,3.5883100174690448,16785282.96541247,489630.48306152516
2019-08-01 08:40:00,8.305558081152599,0.6109355680769236,187.77001895448,3.5229961343909157,16948372.645739805,3438030.228559062
2019-08-01 08:45:00,8.913428755728402,0.6400596274877992,188.33958197451972,3.4755173631718765,34268915.322647005,30678256.9235956
2019-08-01 08:50:00,8.755816016568716,0.6131926120523493,188.90046890853847,3.458918936104365,23217866.815245308,20413003.248577885
2019-08-01 08:55:00,9.231510678828348,0.6300686162899067,189.4519760626203,3.489486425194308,74799969.42416966,27723713.42177851
2019-08-01 09:00:00,8.425017546684419,0.6387917411726414,190.68467528970922,4.200712793439371,17690723.358903907,7980949.435002956
2019-08-01 09:05:00,8.3886088646815,0.6260220010361195,190.89830630201283,4.556549235895487,17411942.960227046,6657156.205942999
2019-08-01 09:10:00,8.497396527761325,0.624367927985316,191.085029912464,4.935723320686085,18194463.228058744,9914189.62592331
2019-08-01 09:15:00,8.441154860447334,0.6110544217820295,191.2542330112729,5.332730367506877,17611624.583065737,7628740.209945701
2019-08-01 09:20:00,8.338011363823151,0.5952251431119109,191.4153268766936,5.742221866608832,17100312.98710423,4741534.138460258
2019-08-01 09:25:00,7.950839212974794,0.5604922572085465,191.57776754412868,6.1589963735756745,16790117.384220053,760972.4303711256
2019-08-01 09:30:00,8.074868426547383,0.5631709220458512,191.751083915627,6.577981362361697,16806343.724728297,1314376.540007467
2019-08-01 09:35:00,8.467528013943532,0.5856878723317531,191.94491327229545,6.9942050283372215,17603140.602719855,7586140.8339821575
2019-08-01 09:40:00,8.083703656989838,0.5562335010519961,192.1690439481493,7.4027567195482495,16805921.335475042,1301539.515445579
