Unnamed: 0,245TSU,245TSV,245TS-WS,245TS-WD,382TSU,382TSV,382TS-WS,382TS-WD
2019-08-01 00:00:00,4.797684074743684,3.2490401931696864,5.810783908377122,177.65646103352,4.772174359292501,3.2209966943235564,5.777027721920698,178.13682294941955
2019-08-01 00:05:00,5.299895345706211,3.4708105217133487,6.372001695979779,178.56973427544133,5.221858583556355,3.4456395872674515,6.295806009189154,178.65694883685464
2019-08-01 00:10:00,4.759242960102192,2.9292206492717785,5.618658412685436,180.1101122631794,4.811482458835564,3.2791963883283968,5.847634565167803,177.43495209623424
2019-08-01 00:15:00,4.182792104799544,3.3579047841562986,5.410456935905246,172.9505610957675,4.209641458668537,3.583111257338988,5.556748616907015,171.44658677440887
2019-08-01 00:20:00,4.694668186988603,3.3766698802481523,5.8123410973268514,175.7658331579479,4.56356637500719,3.3238513618742966,5.682092427943085,175.82904574688462
2019-08-01 00:25:00,4.682898915842432,3.247889396632187,5.724554542736209,176.39587196114937,4.564200592874113,3.4629557744691346,5.759197819227375,174.56836221651628
2019-08-01 00:30:00,6.019958352523712,3.7896964895360834,7.13486109701832,179.72166063163925,5.999420295355233,4.010156816524129,7.237232823751421,178.50193187918984
2019-08-01 00:35:00,5.971271406697338,5.3433170603501186,8.038151125189142,170.04871773459038,5.659826180919515,5.314430673271787,7.785692898205358,168.94236119244223
2019-08-01 00:40:00,5.266958236623679,6.08228603731458,8.056711646359584,162.28706315492795,5.0580593907328835,6.074025647618171,7.915331240706295,161.61854677024058
2019-08-01 00:45:00,4.348047351903833,5.206286584473088,6.799453649815308,161.61509133959777,4.454766016996828,5.057917420037619,6.762258673130964,163.51519164101023
2019-08-01 00:50:00,4.734667609992108,5.034151623459357,6.919032916339541,164.89042134857138,4.692528884211014,5.243118421047816,7.049934540775548,163.83483651722497
2019-08-01 00:55:00,4.71129780091557,5.433064856056272,7.219260793575501,162.2522682311296,4.550631208321051,5.404815182975738,7.092750077555919,161.78939658922306
2019-08-01 01:00:00,3.9550173077307487,5.333424745685416,6.6477816293463965,158.07583198107463,3.849219414195504,5.424496991344916,6.658223766521449,157.3116618518604
2019-08-01 01:05:00,4.017557684103913,4.969686102784582,6.396835097746509,160.48496764187726,4.031331254921172,5.080500928348855,6.491325818540586,160.34898307903484
2019-08-01 01:10:00,4.1623417116457935,4.872892031130204,6.415786285192211,162.16605106723992,4.3413794339029685,5.197217471770687,6.777570238099403,161.85282362808238
2019-08-01 01:15:00,3.5243050012996044,4.677495656452892,5.8673713232200635,158.5887160982274,3.4193539209474086,4.777236592056804,5.897607820329855,157.53669158196772
2019-08-01 01:20:00,4.0549887710899295,4.517017906635997,6.0753621389937305,163.51330965247288,4.002930643145181,4.529276400537862,6.053072956287278,163.41300658949783
2019-08-01 01:25:00,4.682112514697606,4.348821358792847,6.397446239285062,168.7127135524184,4.823104269474183,4.305881151180949,6.469403452322281,170.23840285878555
2019-08-01 01:30:00,4.543725907859347,4.285633128358447,6.249700319126212,168.4145271914449,4.726386565309286,4.151835298651009,6.296850988237049,170.8181642420196
2019-08-01 01:35:00,4.482819509843669,3.648018595101133,5.784248898706973,172.56024272137765,4.637474824880629,3.69900471205249,5.93418584748391,173.47410564387627
2019-08-01 01:40:00,4.7032219063309855,3.423353473123084,5.822136112394378,175.60387777375786,5.03164217188127,3.5729279011391717,6.17514818775096,176.63969629354958
2019-08-01 01:45:00,4.745288818206959,3.3941246996507317,5.8379711133138885,176.0856386700646,4.863253930808009,3.396253400133905,5.935762454912855,177.1487539736095
2019-08-01 01:50:00,4.451102260710957,3.1984611587343776,5.485171085486035,175.930634135213,4.782311484136869,3.3498811218666966,5.842139170931648,177.0302807139815
2019-08-01 01:55:00,4.551335900135351,2.93428324595771,5.418297521717245,178.6651607284044,5.090056866573857,3.257108582534599,6.047348568978478,179.24169516274392
2019-08-01 02:00:00,4.903855071401249,3.0995330562347365,5.803324347400657,179.3576180317873,5.060399235254726,3.1973218561536654,5.9887908889410495,179.77950680334453
2019-08-01 02:05:00,5.025117245347432,3.2917462085819733,6.010975137163223,178.53259266764454,5.141072654184387,3.707242871669591,6.342977128344665,176.31004879693435
2019-08-01 02:10:00,5.201152545623297,3.7128744674625933,6.39186503715584,176.12235125131642,5.521671022458322,3.9034504980136413,6.767845907786027,176.7503778011998
2019-08-01 02:15:00,5.169317244995492,3.3403890073409266,6.158793599956922,178.7718896223924,5.391040286555362,3.4466370428200013,6.404571682396072,179.44368127011023
2019-08-01 02:20:00,5.007821348518336,3.2198694209601317,5.958245603894283,178.96814632009273,5.232302885050307,3.283404095046825,6.18639839654233,179.997149772876
2019-08-01 02:25:00,5.567913504540204,4.152410763906492,6.9522923027862635,174.7724525215294,5.7658703063022125,4.206798798914567,7.141027905244914,175.7194931258358
2019-08-01 02:30:00,6.029278766645893,4.200077341057955,7.348591360334474,176.81319412042643,6.182593128341935,4.4294908528807255,7.606439420284742,176.43020563918694
2019-08-01 02:35:00,6.316262205564923,4.397620239024813,7.699930533220173,176.82209341086326,6.253457134729488,4.38062884212442,7.641213149701003,177.0878813989334
2019-08-01 02:40:00,5.848823879985771,4.688265682712069,7.502929167588642,172.94089365804663,5.9810250912731275,4.474137829323137,7.470658781243545,175.26027259166932
2019-08-01 02:45:00,5.4222195000161015,4.61899680003585,7.134008093684595,171.2236302020793,5.688124835954957,4.756602907448932,7.420089679408883,172.1359953610367
2019-08-01 02:50:00,5.0074169036502845,5.501933788690102,7.445058571716029,163.96895713548736,5.175801043387895,5.663888102218336,7.680275616491263,164.43607005178296
