,Wind Speed Ensemble Average,WSPD ENS STD,Wind Direction Ensemble Average,WDIR ENS STD
2019-08-01 06:00:00,10.041857187341682,1.1871944890133967,166.45079398196748,10.067350967422957
2019-08-01 06:05:00,9.328767472107941,1.0572980842279573,167.3521222966564,10.069239040129416
2019-08-01 06:10:00,10.70303051174669,1.1687390716131152,168.22160876295433,10.022601975216562
2019-08-01 06:15:00,11.07452722807817,1.1708178584814177,169.06148270706203,9.929406963528887
2019-08-01 06:20:00,10.514044279300457,1.0811400625577392,169.87389091082497,9.791972059534988
2019-08-01 06:25:00,10.643566807399305,1.0689835822482392,170.66089924586745,9.612952707649727
2019-08-01 06:30:00,8.624843253229018,0.8492331548910135,171.42449481374132,9.395336006944254
2019-08-01 06:35:00,7.355696651316793,0.7123495024888661,172.16658837457257,9.142441942446633
2019-08-01 06:40:00,7.282788981928643,0.6955747481585738,172.8890168829081,8.857930656446824
2019-08-01 06:45:00,9.007434939988345,0.8503541902467425,173.59354597987155,8.54581457931783
2019-08-01 06:50:00,8.856449385819495,0.827938099744901,174.28187231620518,8.210473799485156
2019-08-01 06:55:00,8.458968975875132,0.784177881817894,174.95562560215657,7.856672286479497
2019-08-01 07:00:00,9.228277443436243,0.8492794697163307,175.61637029828418,7.489571277317453
2019-08-01 07:05:00,9.377723396888802,0.8574497565422635,176.2656068768701,7.114733997205508
2019-08-01 07:10:00,9.078623826104291,0.8251875174298539,176.9047725974511,6.738112549037098
2019-08-01 07:15:00,9.568554747878396,0.8648594989340342,177.5352417526549,6.3660029649551735
2019-08-01 07:20:00,9.09737129590176,0.8177903263602917,178.1583253526438,6.004948145586815
2019-08-01 07:25:00,8.43379091683495,0.7539761095931681,178.77527022854136,5.661561877951012
2019-08-01 07:30:00,8.451993030883395,0.7512938702926778,179.38725754769638,5.342243662435571
2019-08-01 07:35:00,9.032613781449824,0.7980208251431375,179.99540074689537,5.052760217243533
2019-08-01 07:40:00,8.949604938396684,0.7854442522307127,180.6007429039511,4.797694157471727
2019-08-01 07:45:00,8.874662601926973,0.7731425525978396,181.20425358364926,4.579809195996228
2019-08-01 07:50:00,9.379935156591864,0.8104223237471726,181.80682521088784,4.399445672550676
2019-08-01 07:55:00,9.54796482401565,0.8172449370648835,182.4092690419137,4.254108342393853
2019-08-01 08:00:00,9.079007427614139,0.7688640707067054,183.01231082361133,4.138395791569464
2019-08-01 08:05:00,8.926120568811983,0.7467993846941252,183.61625607068052,4.044305881539631
2019-08-01 08:10:00,8.572388744388581,0.7074557208081198,184.22004821927362,3.9630123678678997
2019-08-01 08:15:00,9.015159452999285,0.7327177023333045,184.82235274244076,3.8875458115573873
2019-08-01 08:20:00,9.429350154329864,0.7535516830090525,185.42190575876145,3.813278559686864
2019-08-01 08:25:00,8.302272727923233,0.6513320278929435,186.01751855242532,3.7379953443702845
2019-08-01 08:30:00,8.059252542084296,0.619724145441126,186.60808094350548,3.661997847164931
2019-08-01 08:35:00,7.86053057348667,0.5915777430723258,187.1925635439269,3.5883100174690448
2019-08-01 08:40:00,8.305558081152599,0.6109355680769236,187.77001895448,3.5229961343909153
2019-08-01 08:45:00,8.913428755728402,0.6400596274877992,188.33958197451975,3.475517363171876
2019-08-01 08:50:00,8.755816016568716,0.6131926120523493,188.90046890853847,3.458918936104365
2019-08-01 08:55:00,9.231510678828347,0.6300686162899067,189.4519760626203,3.4894864251943076
2019-08-01 09:00:00,8.425017546684419,0.6387917411726414,190.68467528970922,4.200712793439371
2019-08-01 09:05:00,8.3886088646815,0.6260220010361195,190.8983063020128,4.556549235895486
2019-08-01 09:10:00,8.497396527761325,0.624367927985316,191.085029912464,4.935723320686085
2019-08-01 09:15:00,8.441154860447334,0.6110544217820295,191.25423301127287,5.332730367506877
2019-08-01 09:20:00,8.33801136382315,0.5952251431119109,191.4153268766936,5.742221866608833
2019-08-01 09:25:00,7.950839212974794,0.5604922572085465,191.5777675441287,6.1589963735756745
2019-08-01 09:30:00,8.074868426547383,0.5631709220458512,191.751083915627,6.577981362361697
2019-08-01 09:35:00,8.467528013943532,0.5856878723317531,191.94491327229542,6.9942050283372215
2019-08-01 09:40:00,8.083703656989837,0.5562335010519961,192.1690439481493,7.4027567195482495
2019-08-01 09:45:00,8.259255417995782,0.5674839362539581,192.43346487713484,7.798734502733222
2019-08-01 09:50:00,9.10497523819306,0.6274658080239695,192.74842151324063,8.177178303491397
2019-08-01 09:55:00,8.602903727291675,0.5976973428538015,193.1244772102265,8.532987084689056
2019-08-01 10:00:00,8.788543185791927,0.6191073435866006,193.57257847665673,8.860818669359466
2019-08-01 10:05:00,8.583453440742188,0.6168599592378459,194.10155706343912,9.15576840526862
2019-08-01 10:10:00,8.2358892472021,0.6075043147602188,194.71036239956686,9.415696191437556
2019-08-01 10:15:00,8.024059562554742,0.6110151781238016,195.39552944356547,9.638879838379802
2019-08-01 10:20:00,7.7759736825938575,0.6145178785011205,196.15367663394076,9.823228324105655
2019-08-01 10:25:00,7.834757855191061,0.6456201228211511,196.9814716214687,9.96628278172893
2019-08-01 10:30:00,7.697887255911169,0.6641362876975219,197.8756001965221,10.06521779956595
2019-08-01 10:35:00,8.087474345132385,0.7329755410353309,198.8327389586902,10.116842345154435
2019-08-01 10:40:00,8.08985295499847,0.7722442118907473,199.8495322347842,10.117599731297394
2019-08-01 10:45:00,8.105731151142184,0.8165573561418498,200.9225737071419,10.063566151940295
2019-08-01 10:50:00,8.091694981000067,0.8613276240511891,202.04839315799532,9.950447456487511
